2024-09-11 06:41:29 status half-installed zlib1g:amd64 1:1.2.11.dfsg-2ubuntu9
2024-09-11 06:41:29 status unpacked zlib1g:amd64 1:1.2.11.dfsg-2ubuntu9
2024-09-11 06:41:29 startup packages configure
2024-09-11 06:41:29 configure lsb-base:all 11.1.0ubuntu4 <none>
2024-09-11 06:41:29 status unpacked lsb-base:all 11.1.0ubuntu4
2024-09-11 06:41:29 status half-configured lsb-base:all 11.1.0ubuntu4
2024-09-11 06:41:29 status installed lsb-base:all 11.1.0ubuntu4
2024-09-11 06:41:29 configure libtirpc-common:all 1.3.2-2build1 <none>
2024-09-11 06:41:29 status unpacked libtirpc-common:all 1.3.2-2build1
2024-09-11 06:41:29 status half-configured libtirpc-common:all 1.3.2-2build1
2024-09-11 06:41:29 status installed libtirpc-common:all 1.3.2-2build1
2024-09-11 06:41:29 configure libaudit-common:all 1:3.0.7-1build1 <none>
2024-09-11 06:41:29 status unpacked libaudit-common:all 1:3.0.7-1build1
2024-09-11 06:41:29 status half-configured libaudit-common:all 1:3.0.7-1build1
2024-09-11 06:41:29 status installed libaudit-common:all 1:3.0.7-1build1
2024-09-11 06:41:29 configure libsemanage-common:all 3.3-1build2 <none>
2024-09-11 06:41:29 status unpacked libsemanage-common:all 3.3-1build2
2024-09-11 06:41:29 status half-configured libsemanage-common:all 3.3-1build2
2024-09-11 06:41:29 status installed libsemanage-common:all 3.3-1build2
2024-09-11 06:41:29 configure gcc-12-base:amd64 12-20220319-1ubuntu1 <none>
2024-09-11 06:41:29 status unpacked gcc-12-base:amd64 12-20220319-1ubuntu1
2024-09-11 06:41:29 status half-configured gcc-12-base:amd64 12-20220319-1ubuntu1
2024-09-11 06:41:29 status installed gcc-12-base:amd64 12-20220319-1ubuntu1
2024-09-11 06:41:29 configure ncurses-base:all 6.3-2 <none>
2024-09-11 06:41:29 status unpacked ncurses-base:all 6.3-2
2024-09-11 06:41:29 status half-configured ncurses-base:all 6.3-2
2024-09-11 06:41:29 status installed ncurses-base:all 6.3-2
2024-09-11 06:41:29 configure sensible-utils:all 0.0.17 <none>
2024-09-11 06:41:29 status unpacked sensible-utils:all 0.0.17
2024-09-11 06:41:29 status half-configured sensible-utils:all 0.0.17
2024-09-11 06:41:29 status installed sensible-utils:all 0.0.17
2024-09-11 06:41:29 configure libcrypt1:amd64 1:4.4.27-1 <none>
2024-09-11 06:41:29 status unpacked libcrypt1:amd64 1:4.4.27-1
2024-09-11 06:41:29 status half-configured libcrypt1:amd64 1:4.4.27-1
2024-09-11 06:41:29 status installed libcrypt1:amd64 1:4.4.27-1
2024-09-11 06:41:29 configure libgcc-s1:amd64 12-20220319-1ubuntu1 <none>
2024-09-11 06:41:29 status unpacked libgcc-s1:amd64 12-20220319-1ubuntu1
2024-09-11 06:41:29 status half-configured libgcc-s1:amd64 12-20220319-1ubuntu1
2024-09-11 06:41:29 status installed libgcc-s1:amd64 12-20220319-1ubuntu1
2024-09-11 06:41:29 configure libc6:amd64 2.35-0ubuntu3 <none>
2024-09-11 06:41:29 status unpacked libc6:amd64 2.35-0ubuntu3
2024-09-11 06:41:29 status half-configured libc6:amd64 2.35-0ubuntu3
2024-09-11 06:41:29 status installed libc6:amd64 2.35-0ubuntu3
2024-09-11 06:41:29 configure libudev1:amd64 249.11-0ubuntu3 <none>
2024-09-11 06:41:29 status unpacked libudev1:amd64 249.11-0ubuntu3
2024-09-11 06:41:29 status half-configured libudev1:amd64 249.11-0ubuntu3
2024-09-11 06:41:29 status installed libudev1:amd64 249.11-0ubuntu3
2024-09-11 06:41:29 configure libattr1:amd64 1:2.5.1-1build1 <none>
